ItemID,Categoria,Subcategoria,Nome,Sinonimos,UsoPratico,Modalidade,Variaveis,FormulaTexto,FormulaLaTeX,CutoffsInterpretacao,TecnicaMedida,Limitacoes,NivelAdocao,FontePrimaria,LinkRadiopaedia,OutrasFontes,Status
VASC-0011,A - Vascular,A1 - Carótidas/Vertebrais,Carotid Intima-Media Thickness,IMT; carotid IMT; atherosclerosis marker,Avaliar aterosclerose carotídea. IMT >0.9 mm associado a risco cardiovascular aumentado.,US-Doppler,Espessura camada íntima-média (mm),IMT = espessura máxima camada íntima-média,IMT = \text{espessura máxima camada íntima-média},<0.7 mm: normal; 0.7-0.9 mm: borderline; >0.9 mm: aumentado (risco cardiovascular).,Doppler pulsado carotida comum distal 1 cm antes bifurcação. Medir parede posterior.,Operador-dependente; afetado por ângulo; variação inter-observador.,S,Bots ML et al. Common carotid intima-media thickness. Stroke. 1997;28(10):1877-1882.,https://radiopaedia.org/articles/carotid-intima-media-thickness,Marcador de aterosclerose subclínica.,OK
VASC-0012,A - Vascular,A4 - Veias,Deep Vein Thrombosis Compression,DVT; compressibility criteria; venous thrombosis,Diagnosticar trombose venosa profunda por US. Veia incompressível sugere TVP.,US-Doppler,Compressibilidade veia (qualitativa: compressível vs incompressível),Critério: veia incompressível com transdutor,\text{Critério: veia incompressível},"Compressível: sem TVP. Incompressível: TVP presente. Sensibilidade/especificidade >95%.",Doppler pulsado transversal e longitudinal. Aplicar pressão transdutor gradualmente. Comparar com lado contralateral.,Operador-dependente; pode falhar em TVP recanalizada; afetado por edema/cicatrizes.,R,Kearon C et al. Antithrombotic therapy VTE disease. Chest. 2012;141(2 Suppl):e419S-e494S.,https://radiopaedia.org/articles/deep-vein-thrombosis,Confirmação por venografia se dúvida.,OK
VASC-0013,A - Vascular,A3 - Artérias Periféricas,Ankle-Brachial Index,ABI; ankle brachial pressure index,Rastreamento doença arterial periférica. ABI <0.9 sugere estenose ≥50%.,US-Doppler; Esfigmomanômetro,"Pressão sistólica tornozelo (mmHg), pressão sistólica braquial (mmHg)",ABI = pressão sistólica tornozelo / pressão sistólica braquial,ABI = \frac{P_{tornozelo}}{P_{braquial}},≥1.0: normal; 0.91-0.99: borderline; 0.71-0.90: estenose leve-moderada; 0.41-0.70: moderada-grave; ≤0.40: grave/crítica.,Doppler pulsado artérias tibial anterior/posterior e artéria braquial. Medir pressão sistólica máxima.,Afetado por calcificação arterial; pode estar falsamente elevado em diabetes; operador-dependente.,R,Hirsch AT et al. ACC/AHA Guidelines PAD. Circulation. 2006;113(11):e463-e654.,https://radiopaedia.org/articles/ankle-brachial-index,Índice toe-brachial para pés com calcificação.,OK
VASC-0014,A - Vascular,A2 - Aorta,Aortic Diameter Measurement,Aortic diameter; aorta size; aortic root,Medir diâmetro aórtico para diagnóstico aneurisma e follow-up.,TC; RM; US,"Diâmetro aorta (mm), localização (raiz, ascendente, descendente, abdominal)",Medição simples do diâmetro máximo,d_{aorta} = \text{diâmetro máximo},"Raiz aórtica: <40 mm normal; 40-50 mm borderline; >50 mm aneurisma. Ascendente: <37 mm normal; >50 mm aneurisma. Abdominal: <30 mm normal; 30-50 mm aneurisma; >50 mm cirurgia.",Medir no eixo transversal maior diâmetro. Evitar incluir trombo mural.,Variação inter-observador; afetado por posicionamento; pode variar com pressão arterial.,R,Hiratzka LF et al. 2010 ACCF/AHA Guidelines Aorta. Circulation. 2010;121(13):e266-e369.,https://radiopaedia.org/articles/abdominal-aortic-aneurysm,Medições seriadas para avaliar crescimento.,OK
THX-0007,B - Tórax,B1 - Derrame Pleural,Pleural Effusion US Volume,Effusion volume ultrasound; pleural fluid quantification,Quantificar volume derrame pleural em US. Menos acurado que TC.,US,"Distância máxima entre pulmão e parede (mm), comprimento máximo (mm)",Fórmula simplificada: V (mL) = distância (mm) × comprimento (mm) × 0.52,V = \text{distância} \times \text{comprimento} \times 0.52,<100 mL: pequeno; 100-500 mL: moderado; >500 mL: volumoso.,Medir em eixo longitudinal máxima distância. Usar transdutor linear.,Menos acurado que TC; afetado por posicionamento; operador-dependente.,S,Eibenberger KL et al. Accuracy ultrasound estimation pleural effusion volume. Chest. 1994;105(6):1826-1831.,https://radiopaedia.org/articles/pleural-effusion-volume-ultrasound,Alternativa: tabela de referência por distância.,OK
THX-0008,B - Tórax,B3 - Hipertensão Pulmonar,Main PA Diameter,Main pulmonary artery diameter; mPA; central PA,Rastreamento hipertensão pulmonar. PA >29 mm (H) ou >27 mm (M) sugere PH.,TC,"Diâmetro PA principal (mm), sexo",Medição simples diâmetro PA,d_{PA} = \text{diâmetro máximo PA},"Homem: <29 mm normal (90º percentil); ≥29 mm sugestivo PH. Mulher: <27 mm normal; ≥27 mm sugestivo PH.",Medir no corte axial bifurcação PA no maior diâmetro.,Não diagnóstico isoladamente; pode estar elevado outras condições; afetado por posicionamento.,S,Ng CS et al. Effect pulmonary hypertension PA diameter. Chest. 1999;115(3):646-651.,https://radiopaedia.org/articles/pulmonary-hypertension-1,Usar PA:Aorta ratio como complemento.,OK
THX-0009,B - Tórax,B4 - Nódulo Pulmonar,Lung-RADS Nodule Classification,Lung-RADS; lung nodule classification; screening,Classificar nódulos pulmonares em screening TC baixa dose.,TC,"Tamanho nódulo (mm), tipo (sólido/subssólido/vidro fosco)",Classificação baseada em tamanho e tipo,\text{Lung-RADS} = f(\text{tamanho; tipo}),LR1: sem achados (0% risco); LR2: benigno (<1%); LR3: provavelmente benigno (1-2%); LR4: suspeito (<15%); LR5: câncer provável (>15%).,Medir maior diâmetro. Classificar tipo. Usar protocolo screening ACR.,Baseado em risco estatístico; não diagnóstico; variação inter-observador.,R,Aberle DR et al. Reduced Lung-Cancer Mortality with Low-Dose CT Screening. NEJM. 2011;365(5):395-409.,https://radiopaedia.org/articles/lung-rads,Fleischner 2017 para incidentalomas.,OK
THX-0010,B - Tórax,B5 - Enfisema,Lung Density Percentile,15th percentile; lung density; emphysema severity,Quantificar enfisema por densidade pulmonar. Correlaciona com função pulmonar.,TC,"Densidade pulmão (HU), percentil 15º",Percentil 15º = valor HU abaixo do qual 15% dos voxels estão,P_{15} = \text{HU abaixo do qual 15\% voxels estão},"<-950 HU: normal; -950 a -910 HU: leve; -910 a -860 HU: moderado; >-860 HU: grave.",TC baixa dose inspiração completa segmentação automática pulmão. Calcular histograma densidade.,Dependente técnica TC; afetado por outras doenças; requer software especializado.,S,Gevenois PA et al. Comparison computed density macroscopic morphometry emphysema. AJR. 1995;165(3):553-558.,https://radiopaedia.org/articles/emphysema,Complementa LAA% para avaliação completa.,OK
ABD-0011,C - Abdome,C1 - Fígado,Liver-to-Spleen Attenuation Ratio,Liver/spleen ratio; L/S ratio; steatosis CT,Quantificar esteatose hepática em TC. Razão <1.0 sugere esteatose moderada-grave.,TC,"Atenuação fígado (HU), atenuação baço (HU)",L/S ratio = atenuação fígado / atenuação baço,L/S = \frac{HU_{fígado}}{HU_{baço}},>1.1: sem esteatose; 1.0-1.1: leve; <1.0: moderada-grave.,ROI ≥1 cm parênquima hepático e baço mesmo corte evitar vasos.,Afetado por cirrose fibrose ferro; pode falhar em esteatose leve; equipamento-dependente.,S,Piekarski J et al. Diagnostic value CT liver-to-spleen attenuation ratio. Radiology. 1989;171(1):149-151.,https://radiopaedia.org/articles/diffuse-hepatic-steatosis,Alternativa: hepatorenal index em US.,OK
ABD-0012,C - Abdome,C1 - Fígado,Liver Fibrosis Elastography,Liver stiffness; transient elastography; FibroScan,Avaliar fibrose hepática por elastografia. Valores elevados sugerem cirrose.,US-Elastografia,"Rigidez hepática (kPa), IMC (kg/m²)",Medição direta rigidez hepática,\text{Rigidez} = \text{kPa},"<5.8 kPa: sem fibrose; 5.8-7.9 kPa: F1; 7.9-9.6 kPa: F2; 9.6-12.5 kPa: F3; >12.5 kPa: F4 (cirrose).",Elastografia de transição US. ROI 10 medições válidas. Jejum 3 horas. Evitar ascite.",Afetado por ascite; IMC elevado; hepatite aguda; operador-dependente; limitado em cirrose avançada.,S,Castera L et al. Prospective comparison transient elastography ultrasound survey. Hepatology. 2005;41(2):283-292.,https://radiopaedia.org/articles/liver-fibrosis,Alternativa: RM elastografia.,OK
ABD-0013,C - Abdome,C2 - Rins,Renal Resistive Index,Renal RI; renal artery RI; transplant RI,Avaliar resistência vascular renal. RI elevado sugere estenose ou rejeição transplante.,US-Doppler,PSV (m/s) EDV (m/s),RI = (PSV - EDV) / PSV,RI = \frac{PSV - EDV}{PSV},Rim nativo: <0.70 normal; 0.70-0.80 borderline; >0.80 aumentado. Transplante: <0.80 normal; >0.80 rejeição/estenose.,Doppler pulsado artéria renal interlobar ângulo <60° ROI centro vaso.,Dependente ângulo; operador-dependente; afetado por pressão arterial.,R,Radermecker RP et al. Renal resistive index assessment renal function. Nephrol Dial Transplant. 2002;17(8):1409-1417.,https://radiopaedia.org/articles/renal-arterial-resistive-index,Valores variam por idade e doença renal.,OK
ABD-0014,C - Abdome,C2 - Rins,Renal Pelvic AP Diameter,Renal pelvis diameter; pelvicalyceal dilatation; hydronephrosis,Avaliar hidronefrose. Diâmetro AP >10 mm sugere obstrução.,US; TC; RM,Diâmetro ântero-posterior pelve renal (mm),Medição simples diâmetro AP,d_{AP} = \text{diâmetro ântero-posterior máximo},"<10 mm: normal; 10-15 mm: borderline; >15 mm: hidronefrose provável. Considerar contexto clínico.",Medir no eixo transversal maior diâmetro pelve renal.,Pode variar com hidratação; afetado por posicionamento; pode haver dilatação fisiológica.,R,Shokeir AA. Renal colic: new concepts related diagnosis treatment. Curr Opin Support Palliat Care. 2009;3(4):299-308.,https://radiopaedia.org/articles/hydronephrosis,Correlacionar com sintomas clínicos.,OK
ABD-0015,C - Abdome,C4 - Baço,Spleen-to-Liver Attenuation Ratio,Spleen/liver ratio; splenic congestion,Avaliar congestão esplênica em hipertensão portal. Razão >1.0 sugere congestão.,TC,"Atenuação baço (HU), atenuação fígado (HU)",S/L ratio = atenuação baço / atenuação fígado,S/L = \frac{HU_{baço}}{HU_{fígado}},<1.0: normal; 1.0-1.1: borderline; >1.1: congestão esplênica.,ROI ≥1 cm parênquima baço e fígado mesmo corte evitar vasos.,Afetado por cirrose fibrose; pode falhar em congestão leve; equipamento-dependente.,S,Piekarski J et al. Diagnostic value CT liver-to-spleen attenuation ratio. Radiology. 1989;171(1):149-151.,https://radiopaedia.org/articles/splenomegaly,Complementa avaliação hipertensão portal.,OK
